risk_rank,account_key,bank_name,entity_name,risk_score,n_flag_types,f_pass_through,f_cycle_3,f_scatter_gather,f_gather_scatter,f_structuring_24h,f_fan_out,f_fan_in,f_cycle_2,f_structuring_band,f_high_velocity,f_round_amount,f_cross_currency,n_txns_out,n_txns_in,usd_out,usd_in
1,70_100428660,Oasis Thrift,Sole Proprietorship #41,15,8,0,0,1,1,1,1,1,0,1,1,1,0,168672,1084,52762291209.75,479594.79
2,121_8000E1590,Saudi Arabia Bank #6,Corporation #11758,15,7,1,1,1,0,1,1,0,1,1,0,0,0,102,18,734972249.03,71413.68
3,222_811D80C30,Saudi Arabia Bank #5,Corporation #14622,15,7,0,1,1,1,0,1,1,1,1,0,0,0,9,29,10450335.17,207355.18
4,70_100428A08,Oasis Thrift,Corporation #36530,14,7,0,0,1,1,1,1,1,0,1,1,0,0,8290,47,1551207355.33,25618.97
5,1412_8051E3B20,First Bank of Indianapolis,Partnership #9358,13,6,1,0,0,1,1,1,1,0,1,0,0,0,16,45,193759.37,188993.91
6,70_1004287C8,Oasis Thrift,Corporation #31479,12,7,0,0,0,1,1,1,1,1,1,1,0,0,14174,103,1299512128.07,70361.66
7,118_811B6E170,Switzerland Bank #8,Partnership #6126,12,6,0,1,1,0,0,1,1,1,1,0,0,0,45,10,258076.94,74592.75
8,1729_802274090,Willows Bancorp,Sole Proprietorship #4834,12,5,1,0,0,1,1,1,1,0,0,0,0,0,58,47,2565539.82,5799939.27
9,220_800117FF0,National Bank of Pittsburgh,Partnership #18529,12,5,1,0,0,1,1,1,1,0,0,0,0,0,98,53,340787.47,220142.36
10,70_1004286A8,Oasis Thrift,Partnership #2370,11,6,0,0,0,1,1,1,1,0,1,1,0,0,103018,653,30547662840.48,294119.14
11,70_100428978,Oasis Thrift,Sole Proprietorship #36613,11,6,0,0,0,1,1,1,1,0,1,1,0,0,20497,150,8231813780.01,48574.45
12,70_100428810,Oasis Thrift,Sole Proprietorship #10935,11,6,0,0,0,1,1,1,1,0,1,1,0,0,16426,114,6656698301.86,35348.59
13,70_100428780,Oasis Thrift,Sole Proprietorship #31648,11,6,0,0,0,1,1,1,1,0,1,1,0,0,17264,117,5091412493.18,143931.29
14,70_1004286F0,Oasis Thrift,Partnership #30358,11,6,0,0,0,1,1,1,1,0,1,1,0,0,18663,108,3681521323.43,37914.16
15,70_100428A51,Oasis Thrift,Country #1,11,6,0,0,0,1,1,1,1,0,1,1,0,0,13073,28,3121458229.84,6217.63
16,70_1004289C0,Oasis Thrift,Sole Proprietorship #37508,11,6,0,0,0,1,1,1,1,0,1,1,0,0,16794,132,3114358919.86,92857.96
17,70_1004288E8,Oasis Thrift,Partnership #36511,11,6,0,0,0,1,1,1,1,0,1,1,0,0,9471,48,2755592009.78,17994.05
18,70_100428858,Oasis Thrift,Partnership #19472,11,6,0,0,0,1,1,1,1,0,1,1,0,0,11000,83,2517766140.62,156927.35
19,70_100428738,Oasis Thrift,Corporation #29514,11,6,0,0,0,1,1,1,1,0,1,1,0,0,13756,98,2459362255.11,59813.93
20,70_1004288A0,Oasis Thrift,Sole Proprietorship #24857,11,6,0,0,0,1,1,1,1,0,1,1,0,0,12330,90,2248821836.55,45059.07
21,70_100428930,Oasis Thrift,Corporation #18817,11,6,0,0,0,1,1,1,1,0,1,1,0,0,6431,37,1120191027.43,20891.43
22,23_80029EE50,Germany Bank #18,Sole Proprietorship #22281,11,6,0,0,0,1,1,1,1,0,1,1,0,0,100,42,910438.57,170584495.76
